target,text
0,@chrishasboobs AHHH I HOPE YOUR OK!!! 
0,"@misstoriblack cool , i have no tweet apps  for my razr 2"
0,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u"
0,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(
0,upper airways problem 
0,Going to miss Pastor's sermon on Faith... 
4,on lunch....dj should come eat with me 
0,@piginthepoke oh why are you feeling like that? 
0,gahh noo!peyton needs to live!this is horrible 
4,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!
4,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
4,to sum up my day in one word ......... kackered! 
4,@k9wkj Great minds think alike 
0,Is Poorly and in bed! 
4,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows..."
4,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% "
4,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
0,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  
0,"ugh, morning's off to a rough start "
0,just bit my tongue 
0,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! 
4,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla 
4,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. "
4,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za
0,"baby's chicken pox are soo bad on the face, I am afraid she might have scars "
0,i don't feel good 
4,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! 
0,This day will pass slowly.  All of these days will.  RAWR!!!!  ... 
0,my car is poorly 
4,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part
4,No woooooork tomorrrow&amp;tuesday 
0,Flatmates are still in the bathroom! ARGGH!! 
0,I'm having an allergic reaction to silver earings 
0,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??"
0,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less "
0,what is with msn making me click the wrong people. garrrrr 
0,Too full of fizz but not enough cider 
4,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ
0,Time to sleep... Long day again tomorrow 
4,Hahaha blakk is reckkkin it. :p throwwwwwed. 
4,Cubs game today! My first ever 
4,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! 
4,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.
4,eating cha with eric 
4,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it "
0,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet 
4,"@Konstantine I said &quot;scar,&quot; sweetie. "
0,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...
4,FCK-Brï¿½ndby 4-0! 
0,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with 
4,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day
4,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
0,@ElleChanel want to shoot...but i'm not in charlotte .. 
4,@sephrenia1982 good work 
4,@KingdomGuard welcome new cd out this week...maybe even tomorrow! 
0,@CatholicChicks hate bein on the phone that long 
4,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too "
4,@melbgirl It means the same to us!  #GoCats
0,"beach this morning,bbq this afternoon. Back to school/work 2morro "
4,@joshlam and you are how old?? REALLY?!? 
0,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??
4,Watched Crank 2.... awesome 
4,@TheUncoolest 
4,Night in with the rock star...  
4,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 
4,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! 
0,"my tooth is sving, and I cannot see my dentist for a week "
0,cant sleep got heartburn really bad 
4,Off to Whipsnade  Hope it's dry
0,Going To Bed ...My Ankle Hurts 
0,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay 
0,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.
4,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing "
4,Listening to the Nutcracker.  Who says it's only a Christmas thing?! 
4,"i miss him, i cant wait to see him, im happy "
0,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 
4,"@mithss mourniiiiiiing eh, morniiing!!! "
4,@pamelaong Glad the blog helped 
4,Awesome pumpkin! Your famous 
0,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? "
4,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.
0,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
